Date,Time,TxBat(V),RSSI 2.4G(dB),RX,RSSI 900M(dB),RX,SWR,VFR 2.4G(%),VFR 900M(%),RxBatt(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),Altitude(m),VSpeed(m/s),RPM(r/m),Current(A),GPS,GPS clock(),GPS speed(knots),GPS alt(m),GPS course(°),ADC2(V),Air speed(knots),VFAS(V),RB Ch. State(),RB State(),R.angle(°),P.angle(°),GASS temp1(°C),GASS temp2(°C),GASS RPM(r/m),GASS res. vol.(ml),GASS res. %(%),GASS flow(ml/min),GASS max flow(ml/min),GASS avg flow(ml/min),H.pressure(Pa),ESC RPM(r/m),ESC consumption(mAh),RxBatt1(V),RxBatt2(V),RxCurrent(A),Rudder,Elevator,Throttle,Aileron,S1,S2,S3,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,LS3,LS4,LS5,
2025-10-22,12:26:08.290,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:08.560,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:08.820,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:09.080,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:09.340,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:09.600,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:09.860,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:10.130,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:10.400,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:10.660,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:10.920,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:11.180,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:11.440,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:11.700,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:11.970,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:12.230,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:12.500,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
2025-10-22,12:26:12.770,7.50,,,,,,,,,3.20,3.20,,,,,,,,,,,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,
